episode_id,selected,current_split,already_in_current_config,known_bad_description,description_exists,description_segments,max_description_end_s,inferred_feature_trs,description_parse_error,h5_dataset_exists,h5_dataset,h5_trs,needed_end,margin,passes_desc_h5_tr,summary_ok,complete_roi_count,missing_roi_count,warning_total,failed_batches,zero_filled_segments,eligible_new_train,skip_reason,description_path
s01e01a,False,train,True,False,True,333,881.0,592,,True,ses-003_task-s01e01a,592,587,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e01a/descriptions/refined_description.md
s01e01b,False,train,True,False,True,343,879.0,590,,True,ses-003_task-s01e01b,592,587,3,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e01b/descriptions/refined_description.md
s01e02a,False,train,True,False,True,251,718.0,482,,True,ses-001_task-s01e02a,482,477,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e02a/descriptions/refined_description.md
s01e02b,False,train,True,False,True,269,718.0,482,,True,ses-001_task-s01e02b,482,477,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e02b/descriptions/refined_description.md
s01e03a,False,train,True,False,True,274,703.0,472,,True,ses-001_task-s01e03a,472,467,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e03a/descriptions/refined_description.md
s01e03b,False,train,True,False,True,261,703.0,472,,True,ses-001_task-s01e03b,472,467,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e03b/descriptions/refined_description.md
s01e04a,False,,False,False,True,259,672.0,452,,True,ses-002_task-s01e04a,503,498,-46,False,True,0,14,0,0,0,False,insufficient_description_h5_tr_coverage,friends/description/downloaded_refine_descriptions/mv_friends_s01e04a/descriptions/refined_description.md
s01e04b,False,,False,False,True,163,453.0,305,,True,ses-002_task-s01e04b,503,498,-193,False,True,0,14,0,0,0,False,insufficient_description_h5_tr_coverage,friends/description/downloaded_refine_descriptions/mv_friends_s01e04b/descriptions/refined_description.md
s01e05a,False,train,True,False,True,277,697.0,468,,True,ses-002_task-s01e05a,468,463,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e05a/descriptions/refined_description.md
s01e05b,False,train,True,False,True,243,689.0,463,,True,ses-002_task-s01e05b,468,463,0,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e05b/descriptions/refined_description.md
s01e06a,False,train,True,False,True,280,727.0,488,,True,ses-003_task-s01e06a,488,483,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e06a/descriptions/refined_description.md
s01e06b,False,train,True,False,True,277,727.0,488,,True,ses-003_task-s01e06b,488,483,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e06b/descriptions/refined_description.md
s01e07a,False,,False,False,True,289,734.0,493,,False,,,,,False,False,0,14,0,0,0,False,missing_h5_dataset,friends/description/downloaded_refine_descriptions/mv_friends_s01e07a/descriptions/refined_description.md
s01e07b,False,,False,False,True,275,734.0,493,,False,,,,,False,False,0,14,0,0,0,False,missing_h5_dataset,friends/description/downloaded_refine_descriptions/mv_friends_s01e07b/descriptions/refined_description.md
s01e08a,False,,False,False,True,249,708.0,476,,False,,,,,False,False,0,14,0,0,0,False,missing_h5_dataset,friends/description/downloaded_refine_descriptions/mv_friends_s01e08a/descriptions/refined_description.md
s01e08b,False,,False,False,True,294,708.0,476,,False,,,,,False,False,0,14,0,0,0,False,missing_h5_dataset,friends/description/downloaded_refine_descriptions/mv_friends_s01e08b/descriptions/refined_description.md
s01e09a,False,,False,False,True,252,696.0,468,,False,,,,,False,False,0,14,0,0,0,False,missing_h5_dataset,friends/description/downloaded_refine_descriptions/mv_friends_s01e09a/descriptions/refined_description.md
s01e09b,False,,False,False,True,264,696.0,468,,False,,,,,False,False,0,14,0,0,0,False,missing_h5_dataset,friends/description/downloaded_refine_descriptions/mv_friends_s01e09b/descriptions/refined_description.md
s01e10a,False,,False,False,True,265,738.0,496,,False,,,,,False,False,0,14,0,0,0,False,missing_h5_dataset,friends/description/downloaded_refine_descriptions/mv_friends_s01e10a/descriptions/refined_description.md
s01e10b,False,,False,False,True,134,343.0,231,,False,,,,,False,False,0,14,0,0,0,False,missing_h5_dataset,friends/description/downloaded_refine_descriptions/mv_friends_s01e10b/descriptions/refined_description.md
s01e11a,False,train,True,False,True,258,710.0,477,,True,ses-005_task-s01e11a,477,472,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e11a/descriptions/refined_description.md
s01e11b,False,train,True,False,True,281,710.0,477,,True,ses-005_task-s01e11b,477,472,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e11b/descriptions/refined_description.md
s01e12a,False,train,True,False,True,241,701.0,471,,True,ses-006_task-s01e12a,472,467,4,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e12a/descriptions/refined_description.md
s01e12b,False,train,True,False,True,277,701.0,471,,True,ses-006_task-s01e12b,471,466,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e12b/descriptions/refined_description.md
s01e13a,False,train,True,False,True,275,697.0,468,,True,ses-006_task-s01e13a,468,463,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e13a/descriptions/refined_description.md
s01e13b,False,train,True,False,True,254,697.0,468,,True,ses-006_task-s01e13b,468,463,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e13b/descriptions/refined_description.md
s01e14a,False,train,True,False,True,279,731.0,491,,True,ses-006_task-s01e14a,491,486,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e14a/descriptions/refined_description.md
s01e14b,False,train,True,False,True,283,731.0,491,,True,ses-006_task-s01e14b,491,486,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e14b/descriptions/refined_description.md
s01e15a,False,train,True,False,True,289,704.0,473,,True,ses-007_task-s01e15a,477,472,1,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e15a/descriptions/refined_description.md
s01e15b,False,train,True,False,True,263,710.0,477,,True,ses-007_task-s01e15b,477,472,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e15b/descriptions/refined_description.md
s01e16a,False,train,True,False,True,279,719.0,483,,True,ses-007_task-s01e16a,483,478,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e16a/descriptions/refined_description.md
s01e16b,False,train,True,False,True,276,719.0,483,,True,ses-007_task-s01e16b,483,478,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e16b/descriptions/refined_description.md
s01e17a,False,train,True,False,True,297,719.0,483,,True,ses-007_task-s01e17a,483,478,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e17a/descriptions/refined_description.md
s01e17b,False,train,True,False,True,295,719.0,483,,True,ses-007_task-s01e17b,483,478,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e17b/descriptions/refined_description.md
s01e18a,False,train,True,False,True,249,740.0,497,,True,ses-008_task-s01e18a,497,492,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e18a/descriptions/refined_description.md
s01e18b,False,train,True,False,True,292,740.0,497,,True,ses-008_task-s01e18b,497,492,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e18b/descriptions/refined_description.md
s01e19a,False,train,True,False,True,268,685.0,460,,True,ses-008_task-s01e19a,460,455,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e19a/descriptions/refined_description.md
s01e19b,False,train,True,False,True,233,685.0,460,,True,ses-008_task-s01e19b,460,455,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e19b/descriptions/refined_description.md
s01e20a,False,train,True,False,True,228,685.0,460,,True,ses-009_task-s01e20a,460,455,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e20a/descriptions/refined_description.md
s01e20b,False,train,True,False,True,277,685.0,460,,True,ses-009_task-s01e20b,460,455,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e20b/descriptions/refined_description.md
s01e21a,False,train,True,False,True,270,710.0,477,,True,ses-009_task-s01e21a,477,472,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e21a/descriptions/refined_description.md
s01e21b,False,train,True,False,True,275,710.0,477,,True,ses-009_task-s01e21b,477,472,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e21b/descriptions/refined_description.md
s01e22a,False,train,True,False,True,291,706.0,474,,True,ses-009_task-s01e22a,474,469,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e22a/descriptions/refined_description.md
s01e22b,False,train,True,False,True,266,705.0,474,,True,ses-009_task-s01e22b,474,469,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e22b/descriptions/refined_description.md
s01e23a,False,train,True,False,True,285,687.0,462,,True,ses-010_task-s01e23a,462,457,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e23a/descriptions/refined_description.md
s01e23b,False,train,True,False,True,250,687.0,462,,True,ses-010_task-s01e23b,462,457,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e23b/descriptions/refined_description.md
s01e24a,False,train,True,False,True,296,766.0,515,,True,ses-010_task-s01e24a,515,510,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e24a/descriptions/refined_description.md
s01e24b,False,train,True,False,True,275,766.0,515,,True,ses-010_task-s01e24b,515,510,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e24b/descriptions/refined_description.md
s02e01a,False,val,True,False,True,247,710.0,477,,True,ses-010_task-s02e01a,477,472,5,True,True,14,0,0,0,0,False,already_in_val,friends/description/downloaded_refine_descriptions/mv_friends_s02e01a/descriptions/refined_description.md
s02e01b,False,train,True,False,True,266,710.0,477,,True,ses-010_task-s02e01b,477,472,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s02e01b/descriptions/refined_description.md
s02e02a,False,val,True,False,True,291,670.0,450,,True,ses-011_task-s02e02a,450,445,5,True,True,14,0,0,0,0,False,already_in_val,friends/description/downloaded_refine_descriptions/mv_friends_s02e02a/descriptions/refined_description.md
s02e02b,False,train,True,False,True,245,670.0,450,,True,ses-011_task-s02e02b,450,445,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s02e02b/descriptions/refined_description.md
s02e03a,False,val,True,False,True,276,691.0,464,,True,ses-011_task-s02e03a,464,459,5,True,True,14,0,0,0,0,False,already_in_val,friends/description/downloaded_refine_descriptions/mv_friends_s02e03a/descriptions/refined_description.md
s02e03b,False,train,True,False,True,255,691.0,464,,True,ses-011_task-s02e03b,464,459,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s02e03b/descriptions/refined_description.md
s02e04a,False,val,True,False,True,264,676.0,454,,True,ses-011_task-s02e04a,454,449,5,True,True,14,0,0,0,0,False,already_in_val,friends/description/downloaded_refine_descriptions/mv_friends_s02e04a/descriptions/refined_description.md
s02e04b,False,train,True,False,True,259,675.0,454,,True,ses-011_task-s02e04b,454,449,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s02e04b/descriptions/refined_description.md
s02e05a,False,val,True,False,True,262,677.0,455,,True,ses-011_task-s02e05a,455,450,5,True,True,14,0,0,0,0,False,already_in_val,friends/description/downloaded_refine_descriptions/mv_friends_s02e05a/descriptions/refined_description.md
s02e05b,False,train,True,False,True,264,677.0,455,,True,ses-011_task-s02e05b,455,450,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s02e05b/descriptions/refined_description.md
s02e06a,False,train,True,False,True,293,744.0,500,,True,ses-012_task-s02e06a,500,495,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s02e06a/descriptions/refined_description.md
s02e06b,False,train,True,False,True,281,744.0,500,,True,ses-012_task-s02e06b,500,495,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s02e06b/descriptions/refined_description.md
s02e07a,False,train,True,False,True,303,738.0,496,,True,ses-012_task-s02e07a,496,491,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s02e07a/descriptions/refined_description.md
s02e07b,False,train,True,False,True,279,738.0,496,,True,ses-012_task-s02e07b,496,491,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s02e07b/descriptions/refined_description.md
s02e08a,False,train,True,False,True,257,681.0,458,,True,ses-013_task-s02e08a,458,453,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s02e08a/descriptions/refined_description.md
s02e08b,False,train,True,False,True,250,680.0,457,,True,ses-013_task-s02e08b,458,453,4,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s02e08b/descriptions/refined_description.md
s02e09a,False,train,True,False,True,285,672.0,452,,True,ses-013_task-s02e09a,452,447,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s02e09a/descriptions/refined_description.md
s02e09b,False,,False,False,True,89,236.0,159,,True,ses-013_task-s02e09b,452,447,-288,False,True,0,14,0,0,0,False,insufficient_description_h5_tr_coverage,friends/description/downloaded_refine_descriptions/mv_friends_s02e09b/descriptions/refined_description.md
s02e10a,False,train,True,False,True,245,713.0,479,,True,ses-013_task-s02e10a,479,474,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s02e10a/descriptions/refined_description.md
s02e10b,False,train,True,False,True,276,713.0,479,,True,ses-013_task-s02e10b,479,474,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s02e10b/descriptions/refined_description.md
s02e11a,False,train,True,False,True,275,726.0,488,,True,ses-014_task-s02e11a,488,483,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s02e11a/descriptions/refined_description.md
s02e11b,False,,False,False,True,127,315.0,212,,True,ses-014_task-s02e11b,488,483,-271,False,True,0,14,0,0,0,False,insufficient_description_h5_tr_coverage,friends/description/downloaded_refine_descriptions/mv_friends_s02e11b/descriptions/refined_description.md
s02e12a,False,train,True,False,True,281,727.0,488,,True,ses-014_task-s02e12a,488,483,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s02e12a/descriptions/refined_description.md
s02e12b,False,train,True,False,True,270,727.0,488,,True,ses-014_task-s02e12b,488,483,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s02e12b/descriptions/refined_description.md
s02e13a,False,train,True,False,True,286,727.0,488,,True,ses-014_task-s02e13a,488,483,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s02e13a/descriptions/refined_description.md
s02e13b,False,train,True,False,True,267,727.0,488,,True,ses-014_task-s02e13b,488,483,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s02e13b/descriptions/refined_description.md
s02e14a,False,train,True,False,True,279,705.0,474,,True,ses-015_task-s02e14a,474,469,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s02e14a/descriptions/refined_description.md
s02e14b,False,train,True,False,True,261,705.0,474,,True,ses-015_task-s02e14b,474,469,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s02e14b/descriptions/refined_description.md
s02e15a,False,train,True,False,True,270,693.0,466,,True,ses-015_task-s02e15a,466,461,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s02e15a/descriptions/refined_description.md
s02e15b,False,train,True,False,True,281,693.0,466,,True,ses-015_task-s02e15b,466,461,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s02e15b/descriptions/refined_description.md
s02e16a,False,train,True,False,True,282,711.0,478,,True,ses-016_task-s02e16a,478,473,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s02e16a/descriptions/refined_description.md
s02e16b,False,train,True,False,True,291,711.0,478,,True,ses-016_task-s02e16b,478,473,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s02e16b/descriptions/refined_description.md
s02e17a,False,train,True,False,True,264,728.0,489,,True,ses-016_task-s02e17a,489,484,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s02e17a/descriptions/refined_description.md
s02e17b,False,train,True,False,True,282,728.0,489,,True,ses-016_task-s02e17b,489,484,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s02e17b/descriptions/refined_description.md
s02e18a,False,train,True,False,True,271,684.0,460,,True,ses-017_task-s02e18a,460,455,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s02e18a/descriptions/refined_description.md
s02e18b,False,train,True,False,True,269,684.0,460,,True,ses-017_task-s02e18b,460,455,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s02e18b/descriptions/refined_description.md
s02e19a,False,train,True,False,True,271,711.0,478,,True,ses-017_task-s02e19a,478,473,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s02e19a/descriptions/refined_description.md
s02e19b,False,train,True,False,True,265,711.0,478,,True,ses-017_task-s02e19b,478,473,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s02e19b/descriptions/refined_description.md
s02e20a,False,train,True,False,True,263,669.0,449,,True,ses-017_task-s02e20a,449,444,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s02e20a/descriptions/refined_description.md
s02e20b,False,train,True,False,True,249,668.0,449,,True,ses-017_task-s02e20b,449,444,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s02e20b/descriptions/refined_description.md
s02e21a,False,train,True,False,True,254,700.0,470,,True,ses-017_task-s02e21a,470,465,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s02e21a/descriptions/refined_description.md
s02e21b,False,train,True,False,True,278,700.0,470,,True,ses-017_task-s02e21b,470,465,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s02e21b/descriptions/refined_description.md
s02e22a,False,train,True,False,True,235,674.0,453,,True,ses-017_task-s02e22a,453,448,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s02e22a/descriptions/refined_description.md
s02e22b,False,train,True,False,True,245,674.0,453,,True,ses-017_task-s02e22b,453,448,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s02e22b/descriptions/refined_description.md
s02e23a,False,train,True,False,True,249,678.0,456,,True,ses-018_task-s02e23a,456,451,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s02e23a/descriptions/refined_description.md
s02e23b,False,train,True,False,True,254,678.0,456,,True,ses-018_task-s02e23b,456,451,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s02e23b/descriptions/refined_description.md
s02e24a,False,,False,False,True,253,682.0,458,,True,ses-018_task-s02e24a,469,464,-6,False,True,0,14,0,0,0,False,insufficient_description_h5_tr_coverage,friends/description/downloaded_refine_descriptions/mv_friends_s02e24a/descriptions/refined_description.md
s02e24b,False,train,True,False,True,252,697.0,468,,True,ses-018_task-s02e24b,469,464,4,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s02e24b/descriptions/refined_description.md
s03e01a,False,train,True,False,True,269,731.0,491,,True,ses-019_task-s03e01a,491,486,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s03e01a/descriptions/refined_description.md
s03e01b,False,train,True,False,True,264,731.0,491,,True,ses-019_task-s03e01b,491,486,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s03e01b/descriptions/refined_description.md
s03e02a,False,train,True,False,True,272,707.0,475,,True,ses-019_task-s03e02a,475,470,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s03e02a/descriptions/refined_description.md
s03e02b,False,train,True,False,True,282,707.0,475,,True,ses-019_task-s03e02b,475,470,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s03e02b/descriptions/refined_description.md
s03e03a,False,train,True,False,True,253,675.0,454,,True,ses-019_task-s03e03a,454,449,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s03e03a/descriptions/refined_description.md
s03e03b,False,train,True,False,True,284,675.0,454,,True,ses-019_task-s03e03b,454,449,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s03e03b/descriptions/refined_description.md
s03e04a,False,train,True,False,True,268,704.0,473,,True,ses-020_task-s03e04a,473,468,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s03e04a/descriptions/refined_description.md
s03e04b,False,train,True,False,True,274,704.0,473,,True,ses-020_task-s03e04b,473,468,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s03e04b/descriptions/refined_description.md
s03e05a,False,train,True,False,True,286,721.0,484,,True,ses-020_task-s03e05a,484,479,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s03e05a/descriptions/refined_description.md
s03e05b,False,train,True,False,True,299,721.0,484,,True,ses-020_task-s03e05b,484,479,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s03e05b/descriptions/refined_description.md
s03e06a,False,,False,True,True,259,1299.0,872,,True,ses-020_task-s03e06a,470,465,407,True,False,0,14,0,0,0,False,known_bad_description,friends/description/downloaded_refine_descriptions/mv_friends_s03e06a/descriptions/refined_description.md
s03e06b,False,train,True,False,True,283,698.0,469,,True,ses-020_task-s03e06b,470,465,4,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s03e06b/descriptions/refined_description.md
