train_size,n_train_feature_trs,n_val_feature_trs,n_test_feature_trs,n_model_test_trs,mean_subject_mean_test_pearson,mean_subject_median_test_pearson,best_alpha,n_retained_parcels,train_episodes,val_episodes,test_episodes,snapshot_dir
5,2502,2300,1876,1812,0.15950467955984263,0.1372907073268566,10000.0,86,"s01e01a,s01e02a,s01e03a,s01e05a,s01e06a","s02e01a,s02e02a,s02e03a,s02e04a,s02e05a","s06e01a,s06e01b,s06e03a,s06e03b",friends/analysis/train_size_sweep_20260622_fresh/train_05/encoding
10,4997,2300,1876,1812,0.16538934756297077,0.15099899417622828,10000.0,86,"s01e01a,s01e02a,s01e03a,s01e05a,s01e06a,s01e01b,s01e02b,s01e03b,s01e05b,s01e06b","s02e01a,s02e02a,s02e03a,s02e04a,s02e05a","s06e01a,s06e01b,s06e03a,s06e03b",friends/analysis/train_size_sweep_20260622_fresh/train_10/encoding
15,7361,2300,1876,1812,0.1776555189820112,0.16473955558561643,10000.0,86,"s01e01a,s01e02a,s01e03a,s01e05a,s01e06a,s01e01b,s01e02b,s01e03b,s01e05b,s01e06b,s01e11a,s01e11b,s01e12a,s01e12b,s01e13a","s02e01a,s02e02a,s02e03a,s02e04a,s02e05a","s06e01a,s06e01b,s06e03a,s06e03b",friends/analysis/train_size_sweep_20260622_fresh/train_15/encoding
20,9771,2300,1876,1812,0.18505877063962733,0.17518129859485554,10000.0,86,"s01e01a,s01e02a,s01e03a,s01e05a,s01e06a,s01e01b,s01e02b,s01e03b,s01e05b,s01e06b,s01e11a,s01e11b,s01e12a,s01e12b,s01e13a,s01e13b,s01e14a,s01e14b,s01e15b,s01e16a","s02e01a,s02e02a,s02e03a,s02e04a,s02e05a","s06e01a,s06e01b,s06e03a,s06e03b",friends/analysis/train_size_sweep_20260622_fresh/train_20/encoding
21,10254,2300,1876,1812,0.18513593099026446,0.17922135182986043,10000.0,86,"s01e01a,s01e02a,s01e03a,s01e05a,s01e06a,s01e01b,s01e02b,s01e03b,s01e05b,s01e06b,s01e11a,s01e11b,s01e12a,s01e12b,s01e13a,s01e13b,s01e14a,s01e14b,s01e15b,s01e16a,s01e16b","s02e01a,s02e02a,s02e03a,s02e04a,s02e05a","s06e01a,s06e01b,s06e03a,s06e03b",friends/analysis/train_size_sweep_20260622_fresh/train_21/encoding
22,10737,2300,1876,1812,0.18632897875744542,0.17853957649812574,10000.0,86,"s01e01a,s01e02a,s01e03a,s01e05a,s01e06a,s01e01b,s01e02b,s01e03b,s01e05b,s01e06b,s01e11a,s01e11b,s01e12a,s01e12b,s01e13a,s01e13b,s01e14a,s01e14b,s01e15b,s01e16a,s01e16b,s01e17a","s02e01a,s02e02a,s02e03a,s02e04a,s02e05a","s06e01a,s06e01b,s06e03a,s06e03b",friends/analysis/train_size_sweep_20260622_fresh/train_22/encoding
23,11220,2300,1876,1812,0.18952810968278572,0.1815008247786538,10000.0,86,"s01e01a,s01e02a,s01e03a,s01e05a,s01e06a,s01e01b,s01e02b,s01e03b,s01e05b,s01e06b,s01e11a,s01e11b,s01e12a,s01e12b,s01e13a,s01e13b,s01e14a,s01e14b,s01e15b,s01e16a,s01e16b,s01e17a,s01e17b","s02e01a,s02e02a,s02e03a,s02e04a,s02e05a","s06e01a,s06e01b,s06e03a,s06e03b",friends/analysis/train_size_sweep_20260622_fresh/train_23/encoding
24,11717,2300,1876,1812,0.19006726918392058,0.1869254145396187,10000.0,86,"s01e01a,s01e02a,s01e03a,s01e05a,s01e06a,s01e01b,s01e02b,s01e03b,s01e05b,s01e06b,s01e11a,s01e11b,s01e12a,s01e12b,s01e13a,s01e13b,s01e14a,s01e14b,s01e15b,s01e16a,s01e16b,s01e17a,s01e17b,s01e18a","s02e01a,s02e02a,s02e03a,s02e04a,s02e05a","s06e01a,s06e01b,s06e03a,s06e03b",friends/analysis/train_size_sweep_20260622_fresh/train_24/encoding
25,12214,2300,1876,1812,0.19128536020967288,0.18619635252795882,10000.0,86,"s01e01a,s01e02a,s01e03a,s01e05a,s01e06a,s01e01b,s01e02b,s01e03b,s01e05b,s01e06b,s01e11a,s01e11b,s01e12a,s01e12b,s01e13a,s01e13b,s01e14a,s01e14b,s01e15b,s01e16a,s01e16b,s01e17a,s01e17b,s01e18a,s01e18b","s02e01a,s02e02a,s02e03a,s02e04a,s02e05a","s06e01a,s06e01b,s06e03a,s06e03b",friends/analysis/train_size_sweep_20260622_fresh/train_25/encoding
26,12687,2300,1876,1812,0.19068721052383372,0.18202512894002215,10000.0,86,"s01e01a,s01e02a,s01e03a,s01e05a,s01e06a,s01e01b,s01e02b,s01e03b,s01e05b,s01e06b,s01e11a,s01e11b,s01e12a,s01e12b,s01e13a,s01e13b,s01e14a,s01e14b,s01e15b,s01e16a,s01e16b,s01e17a,s01e17b,s01e18a,s01e18b,s01e15a","s02e01a,s02e02a,s02e03a,s02e04a,s02e05a","s06e01a,s06e01b,s06e03a,s06e03b",friends/analysis/train_size_sweep_20260622_fresh/train_26/encoding
27,13147,2300,1876,1812,0.19038208529909262,0.1836552563358596,10000.0,86,"s01e01a,s01e02a,s01e03a,s01e05a,s01e06a,s01e01b,s01e02b,s01e03b,s01e05b,s01e06b,s01e11a,s01e11b,s01e12a,s01e12b,s01e13a,s01e13b,s01e14a,s01e14b,s01e15b,s01e16a,s01e16b,s01e17a,s01e17b,s01e18a,s01e18b,s01e15a,s01e19a","s02e01a,s02e02a,s02e03a,s02e04a,s02e05a","s06e01a,s06e01b,s06e03a,s06e03b",friends/analysis/train_size_sweep_20260622_fresh/train_27/encoding
28,13607,2300,1876,1812,0.19091211914034575,0.1834332114590028,10000.0,86,"s01e01a,s01e02a,s01e03a,s01e05a,s01e06a,s01e01b,s01e02b,s01e03b,s01e05b,s01e06b,s01e11a,s01e11b,s01e12a,s01e12b,s01e13a,s01e13b,s01e14a,s01e14b,s01e15b,s01e16a,s01e16b,s01e17a,s01e17b,s01e18a,s01e18b,s01e15a,s01e19a,s01e19b","s02e01a,s02e02a,s02e03a,s02e04a,s02e05a","s06e01a,s06e01b,s06e03a,s06e03b",friends/analysis/train_size_sweep_20260622_fresh/train_28/encoding
29,14067,2300,1876,1812,0.19102510547042464,0.18321690607001068,10000.0,86,"s01e01a,s01e02a,s01e03a,s01e05a,s01e06a,s01e01b,s01e02b,s01e03b,s01e05b,s01e06b,s01e11a,s01e11b,s01e12a,s01e12b,s01e13a,s01e13b,s01e14a,s01e14b,s01e15b,s01e16a,s01e16b,s01e17a,s01e17b,s01e18a,s01e18b,s01e15a,s01e19a,s01e19b,s01e20a","s02e01a,s02e02a,s02e03a,s02e04a,s02e05a","s06e01a,s06e01b,s06e03a,s06e03b",friends/analysis/train_size_sweep_20260622_fresh/train_29/encoding
30,14527,2300,1876,1812,0.1917547353842531,0.18170876609382958,10000.0,86,"s01e01a,s01e02a,s01e03a,s01e05a,s01e06a,s01e01b,s01e02b,s01e03b,s01e05b,s01e06b,s01e11a,s01e11b,s01e12a,s01e12b,s01e13a,s01e13b,s01e14a,s01e14b,s01e15b,s01e16a,s01e16b,s01e17a,s01e17b,s01e18a,s01e18b,s01e15a,s01e19a,s01e19b,s01e20a,s01e20b","s02e01a,s02e02a,s02e03a,s02e04a,s02e05a","s06e01a,s06e01b,s06e03a,s06e03b",friends/analysis/train_size_sweep_20260622_fresh/train_30/encoding
31,15004,2300,1876,1812,0.19323737296922777,0.18615374358632653,10000.0,86,"s01e01a,s01e02a,s01e03a,s01e05a,s01e06a,s01e01b,s01e02b,s01e03b,s01e05b,s01e06b,s01e11a,s01e11b,s01e12a,s01e12b,s01e13a,s01e13b,s01e14a,s01e14b,s01e15b,s01e16a,s01e16b,s01e17a,s01e17b,s01e18a,s01e18b,s01e15a,s01e19a,s01e19b,s01e20a,s01e20b,s01e21a","s02e01a,s02e02a,s02e03a,s02e04a,s02e05a","s06e01a,s06e01b,s06e03a,s06e03b",friends/analysis/train_size_sweep_20260622_fresh/train_31/encoding
32,15481,2300,1876,1812,0.19353970694922445,0.18822459743489003,10000.0,86,"s01e01a,s01e02a,s01e03a,s01e05a,s01e06a,s01e01b,s01e02b,s01e03b,s01e05b,s01e06b,s01e11a,s01e11b,s01e12a,s01e12b,s01e13a,s01e13b,s01e14a,s01e14b,s01e15b,s01e16a,s01e16b,s01e17a,s01e17b,s01e18a,s01e18b,s01e15a,s01e19a,s01e19b,s01e20a,s01e20b,s01e21a,s01e21b","s02e01a,s02e02a,s02e03a,s02e04a,s02e05a","s06e01a,s06e01b,s06e03a,s06e03b",friends/analysis/train_size_sweep_20260622_fresh/train_32/encoding
33,15955,2300,1876,1812,0.19464227557690403,0.1892279845814971,10000.0,86,"s01e01a,s01e02a,s01e03a,s01e05a,s01e06a,s01e01b,s01e02b,s01e03b,s01e05b,s01e06b,s01e11a,s01e11b,s01e12a,s01e12b,s01e13a,s01e13b,s01e14a,s01e14b,s01e15b,s01e16a,s01e16b,s01e17a,s01e17b,s01e18a,s01e18b,s01e15a,s01e19a,s01e19b,s01e20a,s01e20b,s01e21a,s01e21b,s01e22a","s02e01a,s02e02a,s02e03a,s02e04a,s02e05a","s06e01a,s06e01b,s06e03a,s06e03b",friends/analysis/train_size_sweep_20260622_fresh/train_33/encoding
34,16429,2300,1876,1812,0.19545203892462312,0.19055680612502474,10000.0,86,"s01e01a,s01e02a,s01e03a,s01e05a,s01e06a,s01e01b,s01e02b,s01e03b,s01e05b,s01e06b,s01e11a,s01e11b,s01e12a,s01e12b,s01e13a,s01e13b,s01e14a,s01e14b,s01e15b,s01e16a,s01e16b,s01e17a,s01e17b,s01e18a,s01e18b,s01e15a,s01e19a,s01e19b,s01e20a,s01e20b,s01e21a,s01e21b,s01e22a,s01e22b","s02e01a,s02e02a,s02e03a,s02e04a,s02e05a","s06e01a,s06e01b,s06e03a,s06e03b",friends/analysis/train_size_sweep_20260622_fresh/train_34/encoding
35,16891,2300,1876,1812,0.19581513507019482,0.19172457333767776,10000.0,86,"s01e01a,s01e02a,s01e03a,s01e05a,s01e06a,s01e01b,s01e02b,s01e03b,s01e05b,s01e06b,s01e11a,s01e11b,s01e12a,s01e12b,s01e13a,s01e13b,s01e14a,s01e14b,s01e15b,s01e16a,s01e16b,s01e17a,s01e17b,s01e18a,s01e18b,s01e15a,s01e19a,s01e19b,s01e20a,s01e20b,s01e21a,s01e21b,s01e22a,s01e22b,s01e23a","s02e01a,s02e02a,s02e03a,s02e04a,s02e05a","s06e01a,s06e01b,s06e03a,s06e03b",friends/analysis/train_size_sweep_20260622_fresh/train_35/encoding
45,21742,2300,1876,1812,0.20148189948675485,0.19568416614896555,10000.0,86,"s01e01a,s01e02a,s01e03a,s01e05a,s01e06a,s01e01b,s01e02b,s01e03b,s01e05b,s01e06b,s01e11a,s01e11b,s01e12a,s01e12b,s01e13a,s01e13b,s01e14a,s01e14b,s01e15b,s01e16a,s01e16b,s01e17a,s01e17b,s01e18a,s01e18b,s01e15a,s01e19a,s01e19b,s01e20a,s01e20b,s01e21a,s01e21b,s01e22a,s01e22b,s01e23a,s01e23b,s01e24a,s01e24b,s02e06a,s02e06b,s02e07a,s02e07b,s02e08a,s02e08b,s02e09a","s02e01a,s02e02a,s02e03a,s02e04a,s02e05a","s06e01a,s06e01b,s06e03a,s06e03b",friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/encoding
